Exercise,Intensity,Weight_kg,Duration_min,Calories_burned
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
Running,Low,50,30,175.0
Running,Medium,60,45,495.0
Cycling,High,70,60,840.0
Swimming,Low,80,30,240.0
Walking,Medium,90,45,236.25
Jump Rope,High,100,60,1600.0
Yoga,Low,110,30,110.0
